experiment_group,experiment_purpose,model_or_eval,processing_combination,outlier_method,fill_method,smoothing_method,points_or_eval_count,MSE_mean,MAE_mean,RMSE_mean,SMAPE_mean,repeat_ratio,max_repeat_run,rank_in_group,note
Outlier detection,Compare outlier detection methods before reconstruction,Diagnostic,LOF,LOF,None,None,694750,,,,,,1,Selected official outlier method; removes 69816 observed values
Outlier detection,Compare outlier detection methods before reconstruction,Diagnostic,LOF + Quantile,LOF + Quantile,None,None,694750,,,,,,2,More aggressive; removes 133138 observed values and may over-delete real peaks/valleys
Reconstruction fidelity,Compare reconstructed series against observed resampled values,Observed-point reconstruction,LOF + Linear,LOF,Linear,None,1000,0.000000,0.000000,0.000000,0.0000,0.000001,2,1,Interpolation preserves observed points exactly
Reconstruction fidelity,Compare reconstructed series against observed resampled values,Observed-point reconstruction,LOF + PCHIP,LOF,PCHIP,None,1000,0.000000,0.000000,0.000000,0.0000,0.000001,2,1,Interpolation preserves observed points exactly
Reconstruction fidelity,Compare reconstructed series against observed resampled values,Observed-point reconstruction,LOF + Kalman,LOF,Kalman,None,1000,0.000532,0.016559,0.021996,4.9823,0.009138,34,3,Kalman has more repeated platforms before smoothing
Reconstruction fidelity,Compare reconstructed series against observed resampled values,Observed-point reconstruction,LOF + PCHIP + Whittaker,LOF,PCHIP,Whittaker,1000,0.001142,0.024546,0.032207,7.2653,0.000048,8,4,Whittaker smooths curve and keeps repeated platforms low
Reconstruction fidelity,Compare reconstructed series against observed resampled values,Observed-point reconstruction,LOF + PCHIP + SG,LOF,PCHIP,SG,1000,0.001556,0.029123,0.037621,8.4277,0.000000,1,5,SG smoother is weaker than Whittaker for prediction
XGBoost smoothing ablation,Fixed LOF + PCHIP fill; compare no smoothing SG and Whittaker,XGBoost,LOF + PCHIP_NoSmooth,LOF,PCHIP,None,1000,0.001200,0.023900,0.032700,6.1351,,,3,Raw filled series has more noise for prediction
XGBoost smoothing ablation,Fixed LOF + PCHIP fill; compare no smoothing SG and Whittaker,XGBoost,LOF + PCHIP + SG,LOF,PCHIP,SG,1000,0.000200,0.006000,0.010200,1.7228,,,2,SG improves prediction strongly
XGBoost smoothing ablation,Fixed LOF + PCHIP fill; compare no smoothing SG and Whittaker,XGBoost,LOF + PCHIP + Whittaker,LOF,PCHIP,Whittaker,1000,0.000100,0.004500,0.007300,1.3337,,,1,Best fitting/smoothing method in XGBoost ablation
XGBoost smoothing ablation,Fixed LOF + Kalman fill; compare no smoothing SG and Whittaker,XGBoost,LOF + Kalman_NoSmooth,LOF,Kalman,None,1000,0.001200,0.020000,0.031000,4.8998,,,3,Raw Kalman sequence still has noise/platform effects
XGBoost smoothing ablation,Fixed LOF + Kalman fill; compare no smoothing SG and Whittaker,XGBoost,LOF + Kalman + SG,LOF,Kalman,SG,1000,0.000100,0.005700,0.008800,1.6390,,,2,SG improves Kalman sequence but is weaker than Whittaker
XGBoost smoothing ablation,Fixed LOF + Kalman fill; compare no smoothing SG and Whittaker,XGBoost,LOF + Kalman + Whittaker,LOF,Kalman,Whittaker,1000,0.000100,0.004800,0.006400,1.4602,,,1,Best smoothing method when Kalman fill is fixed
XGBoost fill ablation,Fixed LOF + Whittaker smoothing; compare fill methods,XGBoost,LOF + Linear + Whittaker,LOF,Linear,Whittaker,1000,0.000100,0.004600,0.007700,1.3496,,,3,Linear fill is stable but slightly weaker
XGBoost fill ablation,Fixed LOF + Whittaker smoothing; compare fill methods,XGBoost,LOF + PCHIP + Whittaker,LOF,PCHIP,Whittaker,1000,0.000100,0.004500,0.007300,1.3337,,,2,PCHIP is visually robust and prediction-stable
XGBoost fill ablation,Fixed LOF + Whittaker smoothing; compare fill methods,XGBoost,LOF + Kalman + Whittaker,LOF,Kalman,Whittaker,1000,0.000100,0.003900,0.005700,1.1865,,,1,Best final XGBoost prediction combination under LOF-only preprocessing
XGBoost input ablation,Fixed LOF + Kalman + Whittaker; compare NDVI-only and multivariate inputs,XGBoost,NDVI_Compact,LOF,Kalman,Whittaker,1000,0.000100,0.005900,0.007900,1.7592,,,2,Only 11 time/NDVI lag features
XGBoost input ablation,Fixed LOF + Kalman + Whittaker; compare NDVI-only and multivariate inputs,XGBoost,NDVI_Full,LOF,Kalman,Whittaker,1000,0.000100,0.003900,0.005700,1.1865,,,1,Best input scheme; 32 NDVI-derived and time features
XGBoost input ablation,Fixed LOF + Kalman + Whittaker; compare NDVI-only and multivariate inputs,XGBoost,MultiVar_Lagged,LOF,Kalman,Whittaker,1000,0.000200,0.007100,0.009800,1.9785,,,5,Uses processed lagged EVI temperature and soil moisture; no future leakage
XGBoost input ablation,Fixed LOF + Kalman + Whittaker; compare NDVI-only and multivariate inputs,XGBoost,MultiVar_Full,LOF,Kalman,Whittaker,1000,0.000100,0.004900,0.007100,1.4215,,,3,NDVI_Full plus processed lagged exogenous variables
XGBoost input ablation,Fixed LOF + Kalman + Whittaker; compare NDVI-only and multivariate inputs,XGBoost,MultiVar_Current_UpperBound,LOF,Kalman,Whittaker,1000,0.000100,0.004900,0.007200,1.4353,,,4,Includes processed current exogenous variables as an upper-bound/synchronous-observation reference
XGBoost simple indicator ablation,No time or rolling features; compare processed indicators,XGBoost,NDVI_only,LOF,Kalman,Whittaker,1000,0.000100,0.004800,0.006400,1.4602,,,1,Uses only processed NDVI lag 1-3
XGBoost simple indicator ablation,No time or rolling features; compare processed indicators,XGBoost,NDVI_plus_EVI,LOF,Kalman,Whittaker,1000,0.000100,0.005300,0.007300,1.5661,,,2,Adds processed EVI lag 1-3
XGBoost simple indicator ablation,No time or rolling features; compare processed indicators,XGBoost,NDVI_plus_temperature,LOF,Kalman,Whittaker,1000,0.000100,0.005700,0.007800,1.6674,,,3,Adds processed temperature lag 1-3
XGBoost simple indicator ablation,No time or rolling features; compare processed indicators,XGBoost,NDVI_plus_soil_moisture,LOF,Kalman,Whittaker,1000,0.000100,0.005800,0.007900,1.6983,,,4,Adds processed soil moisture lag 1-3
XGBoost simple indicator ablation,No time or rolling features; compare processed indicators,XGBoost,NDVI_plus_all_three,LOF,Kalman,Whittaker,1000,0.000100,0.006000,0.008400,1.7378,,,5,Adds processed EVI temperature and soil moisture lag 1-3
TimesFM cross validation,External sequence-model check on previous Whittaker output,TimesFM-2.5-200M zeroshot,PCHIP_Whittaker,Previous,PCHIP,Whittaker,1000,0.001016,0.023170,0.028923,6.3573,,,1,Reference only; not rerun after switching official outlier method to LOF-only
